Age_range,Industry,Job _title,Annual_salary,Additional_monetary_compensation,Annual_salary_USD,Additional_m_c_USD,Currency,Country,State,City,y_o_p_e_Overall,yo_p_e_in_Field,Highest_level_of_education,Gender
35-44,Business or Consulting,Project Manager,96000,0,96000,0,USD,USA,Colorado,Durango,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Computing or Tech,Software Engineer,99000,15000,99000,15000,USD,USA,North Carolina,Raleigh,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Law,Deputy Counsel,113000,0,113000,0,USD,USA,California,Sacramento,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
45-54,Education (Higher Education),Director,58000,0,58000,0,USD,USA,Virginia,Decline to mention,11 - 20 years,5-7 years,PhD,Woman
35-44,Nonprofits,Associate Director of Annual Giving,69000,0,69000,0,USD,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Health care,Intake admin assistant,35000,0,35000,0,USD,USA,Iowa,Waterloo,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Computing or Tech,Senior BI Analyst,95000,4000,95000,4000,USD,USA,Missouri,St. Louis,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),Staff Associate - Transfer Services,60000,0,60000,0,USD,USA,Massachusetts,"Salem, MA",11 - 20 years,11 - 20 years,College degree,Woman
35-44,"Accounting, Banking & Finance",Revenue Agent,116715,0,116715,0,USD,USA,Iowa,Des Moines,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Education (Higher Education),administrative assistant II,50003,0,50003,0,USD,USA,Massachusetts,Boston,21 - 30 years,8 - 10 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Area Lead Process Engineer,120000,12000,120000,12000,USD,USA,Mississippi,"Pascagoula, MS",11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
18-24,Business or Consulting,Research Analyst,53000,2000,53000,2000,USD,USA,Maryland,Bethesda,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Health care,Credentialing Specialist,43680,3600,43680,3600,USD,USA,Louisiana,Lafayette,5-7 years,5-7 years,Some college,Woman
25-34,Property or Construction,Architectural Designer,64272,6500,64272,6500,USD,USA,California,San Francisco,5-7 years,2 - 4 years,Master's degree,Woman
35-44,Government and Public Administration,Environmental Scientist,74000,5000,74000,5000,USD,USA,District of Columbia,Washington,8 - 10 years,2 - 4 years,Master's degree,Woman
45-54,Nonprofits,Vice President,79000,0,79000,0,USD,USA,California,Costa Mesa,11 - 20 years,11 - 20 years,PhD,Woman
35-44,Business or Consulting,Senior Manager ,148000,5000,148000,5000,USD,USA,Virginia,Arlington ,11 - 20 years,5-7 years,Master's degree,Woman
25-34,Recruitment or HR,Contract Negotiator,90762,1250,90762,1250,USD,USA,New Jersey,Parsippany,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Art & Design,Managing Director,90000,25000,90000,25000,USD,USA,New York,New York City,8 - 10 years,8 - 10 years,Master's degree,Woman
55-64,Engineering or Manufacturing,Director of HR,149865,22480,149865,22480,USD,USA,Massachusetts,Boston,31 - 40 years,31 - 40 years,Master's degree,Woman
35-44,Computing or Tech,Project Manager,121000,50000,121000,50000,USD,USA,Texas,Austin,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Education (Primary/Secondary),Teacher,51000,600,51000,600,USD,USA,Arkansas,Bentonville,2 - 4 years,2 - 4 years,Master's degree,Woman
55-64,Health care,Desktop Support,54000,0,54000,0,USD,USA,Illinois,Quincy,31 - 40 years,31 - 40 years,Some college,Man
25-34,Health care,"Senior Manager, Statistics",145000,60000,145000,60000,USD,USA,Massachusetts,Boston,2 - 4 years,2 - 4 years,PhD,Woman
25-34,Aerospace and Defense,Customs Services Lead,98000,12000,98000,12000,USD,USA,Arizona,Tucson,11 - 20 years,8 - 10 years,College degree,Woman
35-44,Health care,Director of Business Intelligence,132000,0,132000,0,USD,USA,Oregon,Portland,11 - 20 years,11 - 20 years,Some college,Woman
25-34,Engineering or Manufacturing,Development Engineer,92000,0,92000,0,USD,USA,Massachusetts,Andover,2 - 4 years,2 - 4 years,College degree,Woman
25-34,"Marketing, Advertising & PR",Director,175000,15000,175000,15000,USD,USA,New York,New York,8 - 10 years,8 - 10 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Financial Analyst III,100940,0,100940,0,USD,USA,Washington,Seattle,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,"Marketing, Advertising & PR",Associate Product Manager,63000,4725,63000,4725,USD,USA,Ohio,Cleveland,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Education (Higher Education),Support Manager,43000,2000,43000,2000,USD,USA,New York,Rochester,11 - 20 years,5-7 years,Master's degree,Woman
35-44,Nonprofits,Senior Associate,95000,0,95000,0,USD,USA,District of Columbia,Washington,11 - 20 years,8 - 10 years,PhD,Woman
25-34,"Marketing, Advertising & PR","Manager, Medical Writing",105000,11000,105000,11000,USD,USA,Pennsylvania,currently remote,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Environmental/Cultural Resource Management,Archaeologist,48500,5000,48500,5000,USD,USA,Illinois,Chicago Area,5-7 years,5-7 years,Master's degree,Woman
25-34,Education (Primary/Secondary),Teacher,45000,4000,45000,4000,USD,USA,Kansas,Western KS,5-7 years,5-7 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Tax Senior II,70000,5000,70000,5000,USD,USA,Texas,Houston,5-7 years,5-7 years,College degree,Woman
45-54,"Marketing, Advertising & PR",Senior Data Scientist,135400,3000,135400,3000,USD,USA,New York,Brewster,11 - 20 years,11 - 20 years,PhD,Woman
25-34,Health care,Program Manager,115000,0,115000,0,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,Master's degree,Woman
35-44,Engineering or Manufacturing,PD Project Management Specialist,95000,6000,95000,6000,USD,USA,Minnesota,Minneapolis,5-7 years,2 - 4 years,College degree,Woman
25-34,"Marketing, Advertising & PR",Marketing Manager,62000,3000,62000,3000,USD,USA,Mississippi,Starkville,2 - 4 years,2 - 4 years,College degree,Woman
35-44,"Accounting, Banking & Finance",External communications specialist,75000,8000,75000,8000,USD,USA,California,Los Angeles,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Government and Public Administration,economist,103600,2500,103600,2500,USD,USA,District of Columbia,Washington,11 - 20 years,2 - 4 years,Master's degree,Woman
25-34,"Marketing, Advertising & PR",Marketing advisor,69000,7000,69000,7000,USD,USA,California,Lake Tahoe,5-7 years,2 - 4 years,College degree,Woman
45-54,Education (Higher Education),Grants Accountant Sr.,62000,0,62000,0,USD,USA,West Virginia,Morgantown,21 - 30 years,8 - 10 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Sourcing Manager,85200,10775,85200,10775,USD,USA,Wisconsin,Milwaukee ,21 - 30 years,11 - 20 years,College degree,Woman
25-34,Academia--cell and molecular biology,post doctoral fellow,48000,0,48000,0,USD,USA,Texas,Austin,5-7 years,5-7 years,PhD,Woman
35-44,Health care,Senior Data Analyst,96000,5000,96000,5000,USD,USA,Utah,South Jordan,11 - 20 years,2 - 4 years,Master's degree,Woman
35-44,Law,Attorney,175000,15000,175000,15000,USD,USA,California,Los A6,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
35-44,"Accounting, Banking & Finance",Associate General Counsel,96000,5000,96000,5000,USD,USA,Maine,Kennebunk,8 - 10 years,8 - 10 years,PhD,Woman
55-64,Property or Construction,Contracts Administrator,34000,250,34000,250,USD,USA,Pennsylvania,York,31 - 40 years,1 year or less,Some college,Woman
35-44,Business or Consulting,Vice President ,116400,40000,116400,40000,USD,USA,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Insurance,Data Governance ,130000,20000,130000,20000,USD,USA,Kentucky,Louisville ,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Computing or Tech,Product Manager ,120000,0,120000,0,USD,USA,District of Columbia,"Washington, DC",8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,Business or Consulting,Sr. Consultant,77000,4000,77000,4000,USD,USA,New York,New York,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Computing or Tech,Diversity equity and inclusion associate ,67000,3000,67000,3000,USD,USA,Virginia,Richmond,5-7 years,2 - 4 years,Master's degree,Woman
55-64,Education (Higher Education),"Coordinator, Academic Advising",38000,0,38000,0,USD,USA,Pennsylvania,Pittsburgh,31 - 40 years,31 - 40 years,Master's degree,Woman
35-44,Pharmaceutical R&D,Biostatistician,199900,45000,199900,45000,USD,USA,Pennsylvania,Philadelphia,21 - 30 years,11 - 20 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Vice President of Employee Services,149160,5000,149160,5000,USD,USA,Minnesota,Rochester,21 - 30 years,11 - 20 years,College degree,Woman
35-44,"Accounting, Banking & Finance","Senior Manager, Internal Communications",125000,60000,125000,60000,USD,USA,New York,Remote,11 - 20 years,11 - 20 years,High School,Woman
35-44,Recruitment or HR,Sr HRBP,160000,24000,160000,24000,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman
55-64,Education (Higher Education),Associate Dean,118000,10000,118000,10000,USD,USA,New York,Buffalo,31 - 40 years,31 - 40 years,PhD,Woman
25-34,Education (Higher Education),Research Associate,69000,0,69000,0,USD,USA,Colorado,Golden,5-7 years,1 year or less,PhD,Woman
35-44,Education (Higher Education),Instructor,47000,4000,47000,4000,USD,USA,Oklahoma,Miami,21 - 30 years,11 - 20 years,Master's degree,Woman
45-54,Media & Digital,Sales Support Administrator,53000,2500,53000,2500,USD,Usa,Georgia,Suwanee,21 - 30 years,11 - 20 years,Some college,Woman
25-34,Law,Associate Attorney,150000,5000,150000,5000,USD,USA,District of Columbia,Washington,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Recruitment or HR,Project Coordinator,72000,10000,72000,10000,USD,USA,New Jersey,Princeton,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Business or Consulting,Data analyst,79000,0,79000,0,USD,USA,District of Columbia,Washington,5-7 years,2 - 4 years,Master's degree,Man
45-54,Career & Technical Training,Employment Specialist,46800,0,46800,0,USD,USA,Oregon,Portland,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Government and Public Administration,Supervisory biomedical engineer,144128,1000,144128,1000,USD,USA,Maryland,White Oak,8 - 10 years,5-7 years,PhD,Woman
25-34,Nonprofits,Animal Care Worker,26000,200,26000,200,USD,USA,Virginia,Onley,11 - 20 years,5-7 years,High School,Woman
35-44,Health care,Senior Decision Support Analyst,85000,0,85000,0,USD,USA,Mississippi,Corinth,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Law,General Attorney,107146,2000,107146,2000,USD,USA,District of Columbia,Washington,5-7 years,5-7 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Tech. Admin Asst./Office Coordinator,47195,2500,47195,2500,USD,USA,Wisconsin,Little Chute,11 - 20 years,11 - 20 years,Some college,Woman
35-44,"Accounting, Banking & Finance",Senior Manager,130000,30000,130000,30000,USD,USA,Florida,Miami Beach,11 - 20 years,11 - 20 years,Master's degree,Woman
55-64,Education (Higher Education),Academic Advisor 3,50000,0,50000,0,USD,USA,Utah,Taylorsville,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Education (Higher Education),Student Affairs Professional II,42500,0,42500,0,USD,USA,Georgia,Athens,5-7 years,5-7 years,Master's degree,Woman
25-34,Computing or Tech,Team Manager,74618,0,74618,0,USD,USA,California,Berkeley ,11 - 20 years,5-7 years,College degree,Woman
45-54,Insurance,Purchasing Card Program Administrator,63000,8000,63000,8000,USD,USA,Virginia,Richmond,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Media & Digital,UX team lead,100000,20000,100000,20000,USD,USA,Michigan,Detroit,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Government and Public Administration,Legislative Director ,80000,3000,80000,3000,USD,USA,District of Columbia,Washington,5-7 years,5-7 years,College degree,Woman
35-44,Nonprofits,Executive Assistant,71000,12000,71000,12000,USD,USA,District of Columbia,Washington DC,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Health care,Pathologists' Assistant,117000,7500,117000,7500,USD,USA,California,Oakland,11 - 20 years,1 year or less,Master's degree,Woman
35-44,Transport or Logistics,Technical Writer,73000,0,73000,0,USD,USA,Illinois,Chicago,21 - 30 years,2 - 4 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Trader,80000,80000,80000,80000,USD,USA,New York,Purchase,21 - 30 years,21 - 30 years,College degree,Man
25-34,Transport or Logistics,Business Development Manager,57340,0,57340,0,USD,USA,Virginia,Arlington,5-7 years,2 - 4 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Senior Auditor,100000,10000,100000,10000,USD,USA,Nebraska,Omaha,5-7 years,5-7 years,Master's degree,Woman
35-44,Nonprofits,Director (fundraising),98000,0,98000,0,USD,USA,New York,New York,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Hospitality & Events,HR & Facilities Director,68000,5000,68000,5000,USD,USA,Florida,Tampa,31 - 40 years,11 - 20 years,Master's degree,Woman
25-34,Media & Digital,Client Relations Assistant,36000,2000,36000,2000,USD,USA,Illinois,Chicago,2 - 4 years,2 - 4 years,Master's degree,Woman
35-44,Sales,Design Manager,46000,1000,46000,1000,USD,USA,New Hampshire,Nashua,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Library,Department Head,70000,0,70000,0,USD,USA,Massachusetts,Boston suburbs,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Nonprofits,"Sr Specialist, Application Support ",90000,0,90000,0,USD,USA,Connecticut,Fairfield,11 - 20 years,11 - 20 years,Some college,Woman
35-44,Education (Higher Education),Assistant Director,83000,0,83000,0,USD,USA,Oregon,Corvallis,8 - 10 years,8 - 10 years,PhD,Woman
35-44,"Marketing, Advertising & PR",Managing Director,150000,30000,150000,30000,USD,USA,District of Columbia,Washington DC,11 - 20 years,11 - 20 years,College degree,Woman
45-54,"Fundraising in Higher Education; nonclinical, nonacademic",Sr Donor Relations Coordinator,44000,0,44000,0,USD,USA,Missouri,Columbia,21 - 30 years,11 - 20 years,Some college,Other or prefer not to answer
35-44,Nonprofits,Manager,71500,1000,71500,1000,USD,USA,Illinois,Chicago,11 - 20 years,5-7 years,Master's degree,Man
25-34,Engineering or Manufacturing,Mechanical Engineer,92500,1000,92500,1000,USD,USA,California,Sacramento,5-7 years,5-7 years,Master's degree,Woman
25-34,Nonprofits,Manager of Education,50000,0,50000,0,USD,USA,Arizona,Scottsdale,8 - 10 years,8 - 10 years,Master's degree,Woman
35-44,Education (Higher Education),Executive Assistant,54723,0,54723,0,USD,USA,Michigan,Ann Arbor,11 - 20 years,2 - 4 years,College degree,Woman
25-34,Hospitality & Events,Advertising/Sales Promotion Coordinator,43680,3000,43680,3000,USD,USA,Minnesota,Minneapolis,5-7 years,2 - 4 years,College degree,Man
25-34,Business or Consulting,Director of Operations ,70000,0,70000,0,USD,USA,Colorado,Denver,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Property or Construction,Assistant Project Manafer,85000,0,85000,0,USD,USA,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Nonprofits,Asst. Program Director & Volunteer Coordinator,43680,0,43680,0,USD,USA,Minnesota,St. Paul,2 - 4 years,2 - 4 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Application Trainer Advanved ,49000,500,49000,500,USD,USA,Kentucky,Elizabethtown ,11 - 20 years,8 - 10 years,College degree,Woman
45-54,Nonprofits,Community Manager,56238,2400,56238,2400,USD,USA,Massachusetts,Greater Boston area,31 - 40 years,21 - 30 years,High School,Woman
35-44,Computing or Tech,Senior Content Editor,50000,1000,50000,1000,USD,USA,Minnesota,St. Paul,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Wholesale - Apparel,Purchasing Manager - Apparel,90000,115000,90000,115000,USD,USA,Oregon,Ashland,21 - 30 years,11 - 20 years,College degree,Woman
35-44,Govt contractor - not directly govt but they pay me,Facility Security Officer,100000,0,100000,0,USD,USA,Virginia,Vienna,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Government and Public Administration,Senior Research Analyst,84500,0,84500,0,USD,USA,Minnesota,Saint Paul,8 - 10 years,8 - 10 years,PhD,Woman
55-64,Health care,Administrator,104000,0,104000,0,USD,USA,Maine,Portland,31 - 40 years,31 - 40 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Consultant,98000,3000,98000,3000,USD,USA,Texas,Austin,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Education (Primary/Secondary),Human Resources Specialist,49000,0,49000,0,USD,USA,Pennsylvania,York,5-7 years,2 - 4 years,College degree,Woman
55-64,Government and Public Administration,Actuary,170500,3000,170500,3000,USD,USA,District of Columbia,Washington,31 - 40 years,31 - 40 years,College degree,Woman
35-44,"Marketing, Advertising & PR",Marketing and Communications Director,66500,1500,66500,1500,USD,USA,Minnesota,Saint Paul,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Engineering or Manufacturing,Operations Engineer,130000,10000,130000,10000,USD,USA,California,San Francisco,5-7 years,5-7 years,College degree,Woman
45-54,Education (Primary/Secondary),Teacher,93415,0,93415,0,USD,USA,Illinois,East Moline,21 - 30 years,21 - 30 years,Master's degree,Woman
45-54,Government and Public Administration,Librarian,61032,0,61032,0,USD,USA,North Dakota,Bismarck,21 - 30 years,21 - 30 years,Master's degree,Woman
45-54,Law,Senior Corporate Counsel,167000,40000,167000,40000,USD,USA,Tennessee,Nashville,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
